dataset_name,vip_layers,bb_alpha,bnn_structure,split,bnn_layer_str,time,LOSS_train,RMSE_train,NLL_train,CRPS_train,LOSS,RMSE,NLL,CRPS
energy,[2],0.0,"[10, 10]",13,BayesLinear,1446.063488173,409.7145690917969,0.057811107,-1.3592469692230225,0.0333391688764095,4158.63525390625,0.67091006,36.06475067138672,0.4394076764583587
energy,[2],0.0,"[10, 10]",14,BayesLinear,1827.577065013,349.5752258300781,0.03672532,-1.6235324144363403,0.023166062310338,5714.08837890625,0.6949611,51.40924072265625,0.4630236327648163
energy,[2],0.0,"[10, 10]",15,BayesLinear,1823.096551439,345.9847412109375,0.044152394,-1.4704878330230713,0.0275614373385906,3221.669921875,0.57407343,26.9303035736084,0.3705378472805023
energy,[2],0.0,"[10, 10]",16,BayesLinear,1833.543717002,373.4069213867188,0.039652668,-1.549748182296753,0.0248508434742689,4372.044921875,0.6501942,39.69807434082031,0.3900188505649566
energy,[2],0.0,"[10, 10]",17,BayesLinear,1840.789712314,341.31494140625,0.05026948,-1.42818284034729,0.0297776367515325,3320.391845703125,0.5893864,26.970430374145508,0.383095771074295
energy,[2],0.0,"[10, 10]",18,BayesLinear,1819.234040419,377.0722961425781,0.055705618,-1.4159940481185913,0.0313514694571495,4990.00146484375,0.6899465,42.7386589050293,0.4394421279430389
energy,[2],0.0,"[10, 10]",19,BayesLinear,1819.283684144,374.520751953125,0.037502762,-1.6324334144592283,0.0232648644596338,9360.1884765625,0.8594637,82.6267318725586,0.585067093372345
energy,[2],0.0,"[10, 10]",2,BayesLinear,1949.871523661,397.87396240234375,0.05537443,-1.4053853750228882,0.0314417108893394,8526.4716796875,0.93409246,76.04854583740234,0.5739455223083496
energy,[2],0.0,"[10, 10]",3,BayesLinear,1950.572753827,404.2049255371094,0.06003594,-1.3546338081359863,0.0336180254817009,3393.922607421875,0.56778586,26.53428077697754,0.3818344175815582
energy,[2],0.0,"[10, 10]",4,BayesLinear,3465.202943875,375.684814453125,0.07158335,-1.1498744487762451,0.0413906276226043,2946.599609375,0.63446987,21.4615421295166,0.4185783267021179
energy,[2],0.0,"[10, 10]",5,BayesLinear,2266.389113193,450.2796020507813,0.05485455,-1.4699898958206177,0.0304245892912149,5199.5693359375,0.6471198,44.769344329833984,0.4480293989181518
energy,[2],0.0,"[10, 10]",6,BayesLinear,2232.491548595,383.6457824707031,0.069015004,-1.233454942703247,0.038795381784439,2246.927978515625,0.49020594,15.51455020904541,0.315489649772644
energy,[2],0.0,"[10, 10]",7,BayesLinear,2237.13289791,356.7830505371094,0.0622022,-1.306902289390564,0.0358502008020877,3843.743896484375,0.61676395,31.74396514892578,0.4156442582607269
energy,[2],0.0,"[10, 10]",8,BayesLinear,2270.760453019,385.7827758789063,0.048005722,-1.482917308807373,0.027924271300435,12593.830078125,1.1419669,124.38916015625,0.6657039523124695
energy,[2],0.0,"[10, 10]",9,BayesLinear,2323.282400821,338.9376220703125,0.047346156,-1.4647305011749268,0.0285170041024684,4416.390625,0.6558585,37.39198303222656,0.4375231862068176
energy,[2],0.0,"[10, 10]",0,SimplerBayesLinear,1281.337450061,298.58416748046875,0.4510078,0.680918276309967,0.2531958222389221,348.3412780761719,0.5525912,0.8296363353729248,0.3056314289569855
energy,[2],0.0,"[10, 10]",1,SimplerBayesLinear,1352.747485288,247.96890258789065,0.47514537,0.7359185218811035,0.2705496251583099,277.1895446777344,0.43894827,0.6934563517570496,0.255235880613327
energy,[2],0.0,"[10, 10]",10,SimplerBayesLinear,1260.9437871060002,211.90594482421875,0.40076926,0.5504489541053772,0.2251156866550445,290.5328674316406,0.63038635,1.0291593074798584,0.3300381898880005
energy,[2],0.0,"[10, 10]",11,SimplerBayesLinear,1266.88939781,190.33792114257807,0.41065082,0.5648788213729858,0.2277456223964691,248.01515197753903,0.5381344,0.7884446978569031,0.2910071611404419
energy,[2],0.0,"[10, 10]",12,SimplerBayesLinear,1260.355616728,257.13873291015625,0.48266238,0.6955528855323792,0.2608357965946197,323.3074951171875,0.6875861,1.0277886390686035,0.3668484687805176
energy,[2],0.0,"[10, 10]",13,SimplerBayesLinear,1267.688413131,225.07394409179688,0.43456572,0.6379884481430054,0.2447205483913421,269.3522033691406,0.50727934,0.7547399997711182,0.279897391796112
energy,[2],0.0,"[10, 10]",14,SimplerBayesLinear,1286.6291906279998,238.1954345703125,0.42624316,0.6385660767555237,0.2402171343564987,285.65875244140625,0.52358913,0.7656930088996887,0.2900404632091522
energy,[2],0.0,"[10, 10]",15,SimplerBayesLinear,1271.149241351,216.48008728027344,0.43481767,0.6187538504600525,0.2416360527276992,257.8558654785156,0.4722524,0.6650646924972534,0.2628678679466247
energy,[2],0.0,"[10, 10]",16,SimplerBayesLinear,1312.132464204,210.3052673339844,0.423613,0.6107795238494873,0.2374032735824585,260.5462646484375,0.510842,0.7369494438171387,0.2676898241043091
energy,[2],0.0,"[10, 10]",17,SimplerBayesLinear,1291.573528637,222.22439575195312,0.42879805,0.6403656601905823,0.2443193197250366,254.8288726806641,0.43877524,0.6536426544189453,0.2415890395641327
energy,[2],0.0,"[10, 10]",18,SimplerBayesLinear,1281.936972612,262.4603271484375,0.4251562,0.6311410665512085,0.2426740080118179,307.879638671875,0.51078886,0.7350344061851501,0.277881383895874
energy,[2],0.0,"[10, 10]",19,SimplerBayesLinear,1273.854290093,239.05799865722656,0.44881505,0.6666032671928406,0.2513027787208557,299.7522888183594,0.6151295,0.940009832382202,0.3451049029827118
energy,[2],0.0,"[10, 10]",2,SimplerBayesLinear,1268.553881106,155.2832794189453,0.42817992,0.596348762512207,0.2360920310020446,192.9767303466797,0.4395904,0.6102917194366455,0.2388836741447448
energy,[2],0.0,"[10, 10]",3,SimplerBayesLinear,1263.614590842,242.8154144287109,0.45908824,0.7032327651977539,0.258883535861969,294.09503173828125,0.5780807,0.8748541474342346,0.3189167976379394
energy,[2],0.0,"[10, 10]",4,SimplerBayesLinear,1277.396566652,198.8384704589844,0.45068583,0.6517695188522339,0.2499417811632156,246.7623443603516,0.53737557,0.7866443395614624,0.2918904721736908
energy,[2],0.0,"[10, 10]",5,SimplerBayesLinear,1252.166985809,206.60813903808597,0.4194775,0.595427393913269,0.2335859686136245,263.2449645996094,0.54582787,0.7535538077354431,0.2889435291290283
energy,[2],0.0,"[10, 10]",6,SimplerBayesLinear,1309.673212122,244.6612091064453,0.4400412,0.6600813269615173,0.2478035986423492,282.03472900390625,0.4698186,0.6988388895988464,0.2638337016105652
energy,[2],0.0,"[10, 10]",7,SimplerBayesLinear,1306.403717276,319.8800964355469,0.4280724,0.6593033075332642,0.2460213154554367,371.2742919921875,0.55322224,0.8443587422370911,0.3125840425491333
energy,[2],0.0,"[10, 10]",8,SimplerBayesLinear,1257.748241067,185.525146484375,0.42447597,0.6009297966957092,0.2359790503978729,228.28826904296875,0.4624795,0.6459330320358276,0.2569104731082916
energy,[2],0.0,"[10, 10]",9,SimplerBayesLinear,1257.906458884,191.96473693847656,0.42076737,0.591620147228241,0.2330149263143539,225.38137817382807,0.40168625,0.5577928423881531,0.2284613698720932
energy,[3],0.0,"[10, 10]",0,BayesLinear,2651.915102569,499.1951293945313,0.05122288,-1.3184179067611694,0.0321059413254261,3793.663330078125,0.6845373,25.58920669555664,0.4206027388572693
energy,[3],0.0,"[10, 10]",1,BayesLinear,2657.170315406,412.2806091308594,0.04597482,-1.356045484542847,0.0299432147294282,2251.47021484375,0.51233244,9.15215015411377,0.3060860633850097
energy,[3],0.0,"[10, 10]",10,BayesLinear,4178.531991054,507.5049133300781,0.05024173,-1.3509564399719238,0.0312613435089588,3500.62646484375,0.62965184,25.26473045349121,0.3387954533100128
energy,[3],0.0,"[10, 10]",11,BayesLinear,4184.020920528,494.6165771484375,0.044578478,-1.4516571760177612,0.0276910532265901,5988.33154296875,0.7935856,42.66772079467773,0.4463193118572235
energy,[3],0.0,"[10, 10]",12,BayesLinear,5009.977857637,442.3326416015625,0.050491758,-1.3367843627929688,0.0313457883894443,3112.952392578125,0.6205956,18.090763092041016,0.3845787346363067
energy,[3],0.0,"[10, 10]",13,BayesLinear,4241.204776275999,445.3070983886719,0.05027215,-1.3389520645141602,0.0312424767762422,4439.6923828125,0.75325334,35.39828872680664,0.4325315952301025
energy,[3],0.0,"[10, 10]",14,BayesLinear,18976.21078325,533.6595458984375,0.06419708,-1.2916594743728638,0.0353237725794315,4968.7763671875,0.7463439,38.44529724121094,0.44091796875
