split,layers,iterations,batch,dataset,NLL,RMSE,CRPS,time
14,3,150000,100,concrete,3.1937186763030567,5.873766491407002,3.2491031167542883,10344.441256559
15,3,150000,100,concrete,3.1365787864510404,5.502766981801432,3.0527885077582475,10239.998603589002
16,3,150000,100,concrete,3.2586218428864044,6.290900622441666,3.529705043011328,10275.525292721
17,3,150000,100,concrete,3.3656575197801044,7.464507575332088,3.7982904206542862,10211.436820432
18,3,150000,100,concrete,3.26628658400002,6.477190103087477,3.589204049339461,10279.232734916
19,3,150000,100,concrete,3.165821982916249,5.525030985722911,3.0838643333053053,10199.795668718
2,3,150000,100,concrete,3.149078807986257,6.005658926817636,3.201634084912033,10209.145019926
3,3,150000,100,concrete,3.130921653929406,5.481329964246523,2.972714398478693,10205.888869331
4,3,150000,100,concrete,3.1459283532405555,5.396151398426554,3.045309442269048,10315.316822403
5,3,150000,100,concrete,3.28988267878934,6.734767991730108,3.648729716568337,10163.249166332
6,3,150000,100,concrete,3.201287308398766,5.939502177972553,3.3378023361607894,9297.564763529
7,3,150000,100,concrete,3.1487516557351407,5.384708980931648,3.0758573922674417,10333.643409868
8,3,150000,100,concrete,3.168146778195951,5.463413905487317,3.1141475932408405,10457.641395718
9,3,150000,100,concrete,3.2754159386917623,6.555931346282843,3.61923558986293,10439.958699959
0,4,150000,100,concrete,3.082471720954495,5.062278682676872,2.883581330079274,14769.181936694
1,4,150000,100,concrete,3.136015422618193,5.759548087309375,3.0642763509496898,14791.15870059
10,4,150000,100,concrete,3.149498096858139,5.544874340950983,3.021285725286705,15097.332608627
11,4,150000,100,concrete,3.1058349761700303,5.164610104728869,2.9264550300661263,15106.0374359
12,4,150000,100,concrete,3.223857003373109,6.038467655456609,3.315186108880841,14944.259270327
13,4,150000,100,concrete,3.0611283079787035,4.982639431727525,2.810203272463436,14962.107067637
14,4,150000,100,concrete,3.095868535351612,5.205740688777561,2.9150248541908232,15092.689291408002
15,4,150000,100,concrete,3.0956308290475496,5.359331460275242,2.9229652038661387,15010.379884109
16,4,150000,100,concrete,3.217157628651495,5.9986255014418095,3.368167046608153,14877.125578345
17,4,150000,100,concrete,3.292570577633528,6.799200620276202,3.496350263675002,14929.246312709
18,4,150000,100,concrete,3.1921291880214,6.137155894938119,3.3389177318373706,14846.051902827
19,4,150000,100,concrete,3.0895897699988244,5.206630383696928,2.8951400633872324,14885.118928092
2,4,150000,100,concrete,3.0849079305836176,5.166514710790504,2.9224553897427312,14865.513183064
3,4,150000,100,concrete,3.059513184707539,5.07144885532374,2.7516171915559444,14731.918792925
4,4,150000,100,concrete,3.10396342063996,5.145351749768993,2.8710284979815945,14696.17624876
5,4,150000,100,concrete,3.2200987315771754,6.232243159279302,3.366645471832137,14700.316908409
6,4,150000,100,concrete,3.1292992139130504,5.548323025569641,3.1135540801793127,14624.576644175
7,4,150000,100,concrete,3.077355284384098,4.986139826431165,2.8443433409520504,15021.694322075
8,4,150000,100,concrete,3.0931929668919347,5.155882070279327,2.895317806989881,15093.9063796
9,4,150000,100,concrete,3.2249452519883888,6.267961675962778,3.4147340374594384,15014.694487497
0,5,150000,100,concrete,3.0783944069636884,5.092181109877487,2.89362324969133,19324.311102203003
1,5,150000,100,concrete,3.125605143319645,5.685488903718365,3.039096983304705,19233.501611231
10,5,150000,100,concrete,3.197129840248273,5.961653869504413,3.175453849105049,31686.707831593
11,5,150000,100,concrete,3.068054065820185,4.976688810472544,2.8459754141132088,31516.372699400003
12,5,150000,100,concrete,3.2335919757877463,6.112982239150822,3.3441977426436003,30880.645453772
13,5,150000,100,concrete,3.056605473073526,4.97662915656987,2.7938605813175665,30725.941461964
14,5,150000,100,concrete,3.1069015977558703,5.340961739865795,2.9736971094196334,31600.873508571
15,5,150000,100,concrete,3.033635572501236,5.0315965731344585,2.76853913919156,31507.312819309
16,5,150000,100,concrete,3.202697404437812,5.931870482211584,3.3128065958456774,31340.069024498
17,5,150000,100,concrete,3.292567972927995,6.86685362288922,3.5281119605090066,31263.22455348
18,5,150000,100,concrete,3.2074510164499173,6.263246177053607,3.4053531183704107,31977.776720462
19,5,150000,100,concrete,3.0844968773779216,5.202413597060277,2.887919590096447,31334.988956262
2,5,150000,100,concrete,3.0623948167703188,4.985497254609985,2.838696556242659,35050.369555134
3,5,150000,100,concrete,3.0629848058814217,5.216513925927553,2.7974827301310388,35207.486750519
4,5,150000,100,concrete,3.050817633731065,4.9020423457192965,2.72464435008834,35508.996388486
5,5,150000,100,concrete,3.2176130866306494,6.069950212395734,3.342946828037634,35530.011521307
6,5,150000,100,concrete,3.1261457326082542,5.5352134675645885,3.1215960109659613,31315.991743331
7,5,150000,100,concrete,3.060504447060071,4.92848348972672,2.800184756584933,31652.584274786
8,5,150000,100,concrete,3.0874716710661616,5.112987591731134,2.8810562483060176,31289.726227414
9,5,150000,100,concrete,3.228939481352073,6.319132080279078,3.4131968462043147,31757.712424113
0,1,150000,100,energy,1.477472019533894,0.9536779773152536,0.5658292884930355,2317.316267906
1,1,150000,100,energy,1.5377978019412353,1.047370233502604,0.6137972543604585,2336.313827444
10,1,150000,100,energy,1.7610627215765708,1.3990213569756689,0.7934167690079473,1027.277031931
11,1,150000,100,energy,1.5208167732679498,1.0182137727262168,0.5978666550815727,1027.499741483
12,1,150000,100,energy,1.5080537206483984,0.998742910361468,0.5873342776158057,1020.194170728
13,1,150000,100,energy,1.4619373988242477,0.9304927161864536,0.5544350100503788,991.814731109
14,1,150000,100,energy,1.6839206188373868,1.2768521350229152,0.733751416308859,998.876857647
15,1,150000,100,energy,1.5222807635483662,1.0483537949319195,0.5972350991010714,1000.134800589
16,1,150000,100,energy,1.4974108032023594,0.9717796150041196,0.5794586540440575,995.978306443
17,1,150000,100,energy,1.4189819736284135,0.8670404408223732,0.5239486340359407,1001.016780052
18,1,150000,100,energy,1.6811915336593612,1.2971964723809857,0.7437997855318493,1004.274652266
19,1,150000,100,energy,1.521991887234305,1.0447787892020188,0.594887967392073,1065.345679121
2,1,150000,100,energy,1.785474047870677,1.4207252873199558,0.8363708511015557,2344.998570454
3,1,150000,100,energy,1.450853144924316,0.9046879184280798,0.5440324414344461,2357.327685386
